,titulo,localizacion,latitude,longitude,price,energy_certification,basic_characteristics,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
16,"Casa o chalet en venta en carretera Coín, 108","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6617978,-4.5131005,422500,unknown,"{'roomNumber': '5', 'bathNumber': '3', 'hasSwimmingPool': '1', 'constructedArea': '257'}",5,3,,,,1,,257,0,0,1
17,"Casa o chalet independiente en venta en carril LA GAYUMBA, 2","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6522271,-4.4896939,1399000,e,"{'roomNumber': '8', 'bathNumber': '6', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '290'}",8,6,1,1,1,1,,290,0,0,1
18,"Chalet adosado en venta en C. Josefa Morales, 39","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6712556,-4.5088488,256500,e,"{'roomNumber': '4', 'bathNumber': '2', 'hasTerrace': '1', 'constructedArea': '153'}",4,2,,1,,,,153,0,1,0
19,"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,291800,e,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '116'}",3,2,1,1,1,1,1,116,0,0,1
20,"Piso en venta en avenida SAN JAVIER, 65","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6633251,-4.4984817,235000,e,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '102'}",3,2,1,1,1,1,1,102,0,0,1
21,"Piso en venta en C/HESPERIDES, 17","Guadalmar, Málaga",36.663755,-4.4610281,262181,e,"{'roomNumber': '2', 'bathNumber': '1', 'hasLift': '1', 'constructedArea': '103'}",2,1,,,,,1,103,0,0,1
22,Casa o chalet independiente en venta en calle Dolores Medio,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6575706,-4.5026624,567000,inProcess,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '0', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '410'}",5,4,1,1,0,1,,410,0,0,1
23,"Piso en venta en avenida Avenida de Velázquez, 56","La Luz, Málaga",36.6967119,-4.4499633,273100,c,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '101'}",3,2,0,1,1,1,1,101,1,0,0
24,"Piso en venta en avenida Avenida de Velázquez, 56","La Luz, Málaga",36.6967119,-4.4499633,246300,c,"{'roomNumber': '2', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '83'}",2,2,0,1,1,1,1,83,1,0,0
25,"Chalet adosado en venta en calle Diario Malagueño, 1","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6686969,-4.5119353,320000,unknown,"{'roomNumber': '4', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '160'}",4,2,0,1,1,1,,160,0,0,1
26,Chalet adosado en venta en calle Torremolinos s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6645609,-4.5046185,275730,d,"{'roomNumber': '3', 'bathNumber': '2', 'hasGarden': '1', 'hasTerrace': '1', 'constructedArea': '115'}",3,2,1,1,,,,115,0,0,1
27,Chalet pareado en venta en CL CAMPILLOS 2 29120 ALHAURIN EL GRANDE s/n,"Centro, Alhaurín el Grande",36.6412735,-4.6863278,135000,inProcess,"{'roomNumber': '3', 'bathNumber': '1', 'hasTerrace': '1', 'constructedArea': '80'}",3,1,,1,,,,80,0,0,1
28,"Casa o chalet independiente en venta en calle Reserva, 8","Pinos de Alhaurín, Alhaurín de la Torre",36.6589208,-4.5786768,2706000,f,"{'roomNumber': '8', 'bathNumber': '8', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '2500'}",8,8,1,1,1,1,,2500,0,0,1
29,"Casa o chalet independiente en venta en avenida Marquesa Casa Loring, 25","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6513777,-4.4926351,795000,d,"{'roomNumber': '5', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '407'}",5,5,1,1,1,1,,407,0,0,1
30,"Casa o chalet independiente en venta en calle Isabel Barreto, 15","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6599641,-4.5036408,1148000,f,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '0', 'hasTerrace': '1', 'constructedArea': '650'}",5,4,1,1,1,0,,650,0,0,1
31,"Piso en venta en avenida Avenida de Velázquez, 56","La Luz, Málaga",36.6967119,-4.4499633,436700,c,"{'roomNumber': '4', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '151'}",4,2,0,1,1,1,1,151,1,0,0
32,Piso en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6595179,-4.5050633,291800,inProcess,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '118'}",3,2,1,1,1,1,1,118,0,0,1
33,Casa o chalet independiente en venta en calle Figurillas,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6543062,-4.4966166,790000,e,"{'roomNumber': '4', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '255'}",4,2,1,1,1,1,,255,0,0,1
34,Chalet adosado en venta en calle Malasia s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6707764,-4.5164089,320000,b,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '140'}",3,3,0,1,1,1,,140,0,0,1
35,Casa o chalet independiente en venta en Av. Asunción,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6536297,-4.4921254,795000,a,"{'roomNumber': '5', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '407'}",5,5,1,1,1,1,,407,0,1,0
36,Piso en venta en calle Mercedes Formica,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6576179,-4.5050633,297100,d,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '156'}",3,2,1,1,1,1,1,156,0,0,1
37,Casa o chalet independiente en venta en avenida Asunción,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.654368,-4.4935667,790000,c,"{'roomNumber': '5', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '440'}",5,3,1,1,1,1,,440,0,0,1
38,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6634024,-4.4985914,205000,e,"{'roomNumber': '3', 'bathNumber': '1', 'hasParking': '1', 'hasTerrace': '1', 'constructedArea': '130'}",3,1,,1,1,,,130,0,0,1
39,"Casa o chalet independiente en venta en calle Isabel Barreto, 15","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6599712,-4.503655,1148000,f,"{'roomNumber': '6', 'bathNumber': '6', 'hasParking': '1', 'hasGarden': '1', 'hasTerrace': '1', 'constructedArea': '650'}",6,6,1,1,1,,,650,0,0,1
40,Piso en venta en calle Moby Dick,"Guadalmar, Málaga",36.665484,-4.4593381,249900,unknown,"{'roomNumber': '3', 'bathNumber': '1', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '83'}",3,1,1,1,1,1,1,83,0,0,1
41,"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,297100,e,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '118'}",3,2,1,1,1,1,1,118,0,0,1
42,Casa o chalet independiente en venta en calle Fresnos de Guadalmar,"Guadalmar, Málaga",36.666543,-4.4609756,779000,inProcess,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'constructedArea': '230'}",4,3,1,,1,1,,230,0,0,1
43,Chalet adosado en venta en calle Ernesto Kusche,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6616864,-4.4983251,367000,d,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '195'}",4,3,1,1,1,1,,195,0,0,1
44,Dúplex en venta en REAL DE MÁLAGA,"San Francisco - El Chorrillo, Las Gabias",37.1328,-3.66879,129900,inProcess,"{'roomNumber': '4', 'bathNumber': '2', 'hasLift': '1', 'hasTerrace': '1', 'constructedArea': '115'}",4,2,,1,,,1,115,0,0,1
45,Chalet adosado en venta en RIBERA,"San Francisco - El Chorrillo, Las Gabias",37.1329055,-3.6706027,179999,inProcess,"{'roomNumber': '4', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '230'}",4,2,1,1,1,1,,230,0,0,1
46,Chalet adosado en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6469253,-4.5018207,182100,inProcess,"{'roomNumber': '3', 'bathNumber': '1', 'hasParking': '0', 'hasTerrace': '1', 'constructedArea': '83'}",3,1,,1,0,,,83,0,1,0
47,"Piso en venta en calle Rogelio Oliva, 11","Guadalmar, Málaga",36.6638777,-4.4607722,262181,f,"{'roomNumber': '2', 'bathNumber': '1', 'hasLift': '1', 'hasParking': '0', 'hasGarden': '1', 'hasSwimmingPool': '1', 'constructedArea': '108'}",2,1,1,,0,1,1,108,0,0,1
48,Casa o chalet independiente en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6507172,-4.4980983,900000,inProcess,"{'roomNumber': '6', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '384'}",6,4,1,1,1,1,,384,0,1,0
49,Piso en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6659889,-4.5149367,182000,inProcess,"{'roomNumber': '1', 'bathNumber': '1', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '55'}",1,1,1,1,1,1,1,55,0,0,1
50,Finca rústica en venta en Pinos de Alhaurín,Alhaurín de la Torre,36.6597396,-4.5822228,210000,inProcess,"{'roomNumber': '1', 'bathNumber': '1', 'hasParking': '0', 'hasGarden': '1', 'hasSwimmingPool': '1', 'constructedArea': '65'}",1,1,1,,0,1,,65,0,0,1
51,Piso en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.660146,-4.4978386,235000,inProcess,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'constructedArea': '89'}",3,2,1,,1,1,1,89,0,0,1
52,Casa o chalet independiente en venta en avenida Ricardo Gross,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6548086,-4.4900614,790000,d,"{'roomNumber': '5', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '440'}",5,3,1,1,1,1,,440,0,0,1
53,Casa o chalet independiente en venta en avenida Ricardo Gross,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.653835,-4.4919179,790000,g,"{'roomNumber': '5', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '360'}",5,3,1,1,1,1,,360,0,0,1
54,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6633891,-4.4988999,299990,e,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '0', 'hasTerrace': '0', 'constructedArea': '213'}",4,3,0,0,1,0,,213,0,0,1
55,Piso en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6613088,-4.4990457,250000,f,"{'roomNumber': '2', 'bathNumber': '1', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '109'}",2,1,1,1,1,1,1,109,0,0,1
56,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6695723,-4.5186574,320000,a,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '0', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '161'}",3,3,0,1,0,1,,161,0,0,1
57,Casa o chalet independiente en venta en antequera,"Pinos de Alhaurín, Alhaurín de la Torre",36.6450558,-4.5901766,550000,inProcess,"{'roomNumber': '4', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '280'}",4,4,1,1,1,1,,280,0,0,1
58,Casa o chalet independiente en venta en CORTIJO MAZA,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6463857,-4.5002249,639000,e,"{'roomNumber': '3', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '0', 'hasTerrace': '1', 'constructedArea': '298'}",3,2,1,1,1,0,,298,0,0,1
59,Chalet adosado en venta en calle Angola s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6632566,-4.5192925,330000,inProcess,"{'roomNumber': '3', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '239'}",3,4,1,1,1,1,,239,0,0,1
60,Casa o chalet independiente en venta en calle Acacias de Guadalmar,"Guadalmar, Málaga",36.6675775,-4.4623495,1500000,d,"{'roomNumber': '5', 'bathNumber': '6', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '600'}",5,6,1,1,1,1,,600,0,0,1
61,Piso en venta en avenida ANDALUCIA,"San Francisco - El Chorrillo, Las Gabias",37.1311247,-3.6723631,54900,inProcess,"{'roomNumber': '1', 'bathNumber': '1', 'hasLift': '1', 'hasParking': '1', 'constructedArea': '53'}",1,1,,,1,,1,53,0,0,1
62,"Casa o chalet independiente en venta en carril de Mestanza, 50","El Romeral-Peñón de Zapata, Alhaurín de la Torre",36.6955102,-4.5546675,425000,inProcess,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '230'}",4,3,1,1,1,1,,230,0,0,1
63,Casa o chalet independiente en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6656448,-4.472338,410000,e,"{'roomNumber': '8', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '0', 'hasTerrace': '1', 'constructedArea': '210'}",8,4,1,1,1,0,,210,0,0,1
64,Casa o chalet independiente en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6495488,-4.4888463,895000,inProcess,"{'roomNumber': '4', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '500'}",4,4,1,1,1,1,,500,0,0,1
65,Piso en venta en avenida de Velázquez,"Los Guindos - Parque Mediterráneo - Santa Paula, Málaga",36.6988581,-4.4476889,249900,unknown,"{'roomNumber': '2', 'bathNumber': '1', 'hasLift': '1', 'hasParking': '0', 'hasGarden': '0', 'hasSwimmingPool': '0', 'hasTerrace': '1', 'constructedArea': '80'}",2,1,0,1,0,0,1,80,0,0,1
66,Piso en venta en avenida de San Javier,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6648899,-4.4972496,249000,inProcess,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '0', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '106'}",3,2,1,1,0,1,1,106,0,0,1
67,Piso en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6652929,-4.4998666,223000,e,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '102'}",3,2,1,1,1,1,1,102,0,0,1
68,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6723596,-4.5069099,235000,inProcess,"{'roomNumber': '3', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '120'}",3,2,1,1,1,1,,120,0,0,1
69,"Chalet adosado en venta en calle Alberto Peláez Domínguez, 16","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6656226,-4.4995242,298000,e,"{'roomNumber': '4', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '231'}",4,2,0,1,1,1,,231,0,0,1
70,Piso en venta en La Luz,"Carretera de Cádiz, Málaga",36.69337,-4.45395,139900,e,"{'roomNumber': '3', 'bathNumber': '1', 'hasLift': '1', 'hasParking': '0', 'hasGarden': '0', 'hasSwimmingPool': '0', 'hasTerrace': '0', 'constructedArea': '76'}",3,1,0,0,0,0,1,76,0,0,1
71,Chalet adosado en venta en calle Portales del Popo,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6722374,-4.5054086,172000,unknown,"{'roomNumber': '2', 'bathNumber': '2', 'hasTerrace': '1', 'constructedArea': '86'}",2,2,,1,,,,86,0,0,1
72,Casa o chalet independiente en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6638147,-4.5058824,5000000,c,"{'roomNumber': '11', 'bathNumber': '6', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '1600'}",11,6,1,1,1,1,,1600,0,0,1
73,Piso en venta en avenida de velazquez,"Girón - Las Delicias - Pacífico, Málaga",36.6983376,-4.4455878,180000,inProcess,"{'roomNumber': '2', 'bathNumber': '1', 'hasLift': '1', 'constructedArea': '75'}",2,1,,,,,1,75,0,0,1
74,Casa o chalet independiente en venta en calle Acacias de Guadalmar,"Guadalmar, Málaga",36.6674775,-4.4605495,1500000,c,"{'roomNumber': '4', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '620'}",4,5,1,1,1,1,,620,0,0,1
75,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.672398,-4.5068266,318500,g,"{'roomNumber': '4', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '180'}",4,2,1,1,1,1,,180,0,0,1
76,Piso en venta en avenida de Velázquez,"Girón - Las Delicias - Pacífico, Málaga",36.6991275,-4.4459164,160000,inProcess,"{'roomNumber': '3', 'bathNumber': '1', 'hasLift': '1', 'constructedArea': '80'}",3,1,,,,,1,80,0,0,1
77,Chalet adosado en venta en calle del Escritor Béjar Zambrana,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6594796,-4.4953536,370000,c,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '198'}",3,3,1,1,1,1,,198,0,0,1
78,"Chalet adosado en venta en calle Maestro Vicente Lleó, 10","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6643215,-4.5000073,205000,e,"{'roomNumber': '3', 'bathNumber': '1', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '0', 'hasTerrace': '1', 'constructedArea': '67'}",3,1,0,1,1,0,,67,0,1,0
79,"Ático en venta en calle Tanzania, 3","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6620559,-4.5186553,350000,unknown,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '123'}",3,2,1,1,1,1,1,123,0,0,1
