titulo,localizacion,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition,Price_predict,Var_Prices,%_rentabilidad
"Piso en venta en avenida SAN JAVIER, 65","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6633251,-4.4984817,235000,4,3,2,1.0,1.0,1.0,1.0,1.0,102,0,0,1,290518.2181275636,55518.2181275636,23.624773671303657
"Piso en venta en C/HESPERIDES, 17","Guadalmar, Málaga",36.663755,-4.4610281,262181,4,2,1,0.0,0.0,0.0,0.0,1.0,103,0,0,1,206180.1296867281,-56000.87031327188,-21.359621907488293
Casa o chalet independiente en venta en calle Dolores Medio,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6575706,-4.5026624,567000,7,5,4,1.0,1.0,0.0,1.0,0.0,410,0,0,1,673216.3536604941,106216.35366049407,18.733042973632116
"Piso en venta en avenida Avenida de Velázquez, 56","La Luz, Málaga",36.6967119,-4.4499633,273100,2,3,2,0.0,1.0,1.0,1.0,1.0,101,1,0,0,271256.2675972581,-1843.732402741909,-0.6751125605060084
"Piso en venta en avenida Avenida de Velázquez, 56","La Luz, Málaga",36.6967119,-4.4499633,246300,2,2,2,0.0,1.0,1.0,1.0,1.0,83,1,0,0,226404.42131616172,-19895.57868383825,-8.07778265685678
"Chalet adosado en venta en calle Diario Malagueño, 1","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6686969,-4.5119353,320000,8,4,2,0.0,1.0,1.0,1.0,0.0,160,0,0,1,316551.1082255393,-3448.8917744606733,-1.0777786795189603
Chalet adosado en venta en calle Torremolinos s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6645609,-4.5046185,275730,3,3,2,1.0,1.0,0.0,0.0,0.0,115,0,0,1,288062.16952858865,12332.169528588653,4.472552688713108
Chalet pareado en venta en CL CAMPILLOS 2 29120 ALHAURIN EL GRANDE s/n,"Centro, Alhaurín el Grande",36.6412735,-4.6863278,135000,7,3,1,0.0,1.0,0.0,0.0,0.0,80,0,0,1,81587.15348534286,-53412.84651465714,-39.56507149233863
"Casa o chalet independiente en venta en avenida Marquesa Casa Loring, 25","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6513777,-4.4926351,795000,3,5,5,1.0,1.0,1.0,1.0,0.0,407,0,0,1,739131.0703921467,-55868.92960785329,-7.027538315453244
"Piso en venta en avenida Avenida de Velázquez, 56","La Luz, Málaga",36.6967119,-4.4499633,436700,2,4,2,0.0,1.0,1.0,1.0,1.0,151,1,0,0,350463.9649103731,-86236.03508962691,-19.74720290579961
Piso en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6595179,-4.5050633,291800,7,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1,305241.6625163853,13441.662516385317,4.606464193415119
Casa o chalet independiente en venta en calle Figurillas,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6543062,-4.4966166,790000,4,4,2,1.0,1.0,1.0,1.0,0.0,255,0,0,1,499200.6833963692,-290799.3166036308,-36.81004007640896
Chalet adosado en venta en calle Malasia s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6707764,-4.5164089,320000,1,3,3,0.0,1.0,1.0,1.0,0.0,140,0,0,1,284350.1568442285,-35649.843155771494,-11.140575986178591
Casa o chalet independiente en venta en Av. Asunción,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6536297,-4.4921254,795000,0,5,5,1.0,1.0,1.0,1.0,0.0,407,0,1,0,675863.8673113883,-119136.13268861176,-14.985677067749906
Piso en venta en calle Mercedes Formica,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6576179,-4.5050633,297100,3,3,2,1.0,1.0,1.0,1.0,1.0,156,0,0,1,354466.43729138374,57366.43729138374,19.30879747269732
Casa o chalet independiente en venta en avenida Asunción,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.654368,-4.4935667,790000,2,5,3,1.0,1.0,1.0,1.0,0.0,440,0,0,1,742079.9589401037,-47920.04105989635,-6.065827982265361
Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6634024,-4.4985914,205000,4,3,1,0.0,1.0,1.0,0.0,0.0,130,0,0,1,290697.8694481552,85697.86944815516,41.803838755197646
Piso en venta en calle Moby Dick,"Guadalmar, Málaga",36.665484,-4.4593381,249900,8,3,1,1.0,1.0,1.0,1.0,1.0,83,0,0,1,281148.50752553344,31248.50752553344,12.504404772122223
"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,297100,4,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1,309165.6263939589,12065.626393958926,4.061133084469514
Casa o chalet independiente en venta en calle Fresnos de Guadalmar,"Guadalmar, Málaga",36.666543,-4.4609756,779000,7,4,3,1.0,0.0,1.0,1.0,0.0,230,0,0,1,460474.162130788,-318525.83786921203,-40.889067762414896
Chalet adosado en venta en calle Ernesto Kusche,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6616864,-4.4983251,367000,3,4,3,1.0,1.0,1.0,1.0,0.0,195,0,0,1,434856.8516124636,67856.8516124636,18.489605343995528
Dúplex en venta en REAL DE MÁLAGA,"San Francisco - El Chorrillo, Las Gabias",37.1328,-3.66879,129900,7,4,2,0.0,1.0,0.0,0.0,1.0,115,0,0,1,137764.27410531044,7864.27410531044,6.054098618406805
Chalet adosado en venta en RIBERA,"San Francisco - El Chorrillo, Las Gabias",37.1329055,-3.6706027,179999,7,4,2,1.0,1.0,1.0,1.0,0.0,230,0,0,1,307650.59564603865,127651.59564603864,70.91794712528328
Chalet adosado en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6469253,-4.5018207,182100,7,3,1,0.0,1.0,0.0,0.0,0.0,83,0,1,0,169874.43756572902,-12225.562434270978,-6.713653176425578
"Piso en venta en calle Rogelio Oliva, 11","Guadalmar, Málaga",36.6638777,-4.4607722,262181,5,2,1,1.0,0.0,0.0,1.0,1.0,108,0,0,1,227077.8594008237,-35103.14059917629,-13.388895686253498
Casa o chalet independiente en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6507172,-4.4980983,900000,7,6,4,1.0,1.0,1.0,1.0,0.0,384,0,1,0,654431.1631155014,-245568.8368844986,-27.285426320499845
Piso en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6659889,-4.5149367,182000,7,1,1,1.0,1.0,1.0,1.0,1.0,55,0,0,1,152538.0414378494,-29461.9585621506,-16.187889319862965
Finca rústica en venta en Pinos de Alhaurín,Alhaurín de la Torre,36.6597396,-4.5822228,210000,7,1,1,1.0,0.0,0.0,1.0,0.0,65,0,0,1,56847.314851507545,-153152.68514849246,-72.92985007071069
Piso en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.660146,-4.4978386,235000,7,3,2,1.0,0.0,1.0,1.0,1.0,89,0,0,1,248904.8131583035,13904.8131583035,5.916941769490851
Casa o chalet independiente en venta en avenida Ricardo Gross,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6548086,-4.4900614,790000,3,5,3,1.0,1.0,1.0,1.0,0.0,440,0,0,1,743050.5765558928,-46949.423444107175,-5.942964992924959
Casa o chalet independiente en venta en avenida Ricardo Gross,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.653835,-4.4919179,790000,6,5,3,1.0,1.0,1.0,1.0,0.0,360,0,0,1,653611.0855465084,-136388.91445349157,-17.264419551074884
Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6633891,-4.4988999,299990,4,4,3,0.0,0.0,1.0,0.0,0.0,213,0,0,1,402298.6755229831,102308.67552298307,34.10402864194909
Piso en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6613088,-4.4990457,250000,5,2,1,1.0,1.0,1.0,1.0,1.0,109,0,0,1,260712.6812722385,10712.681272238491,4.2850725088953965
Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6695723,-4.5186574,320000,0,3,3,0.0,1.0,0.0,1.0,0.0,161,0,0,1,277867.0316349715,-42132.9683650285,-13.166552614071406
Casa o chalet independiente en venta en antequera,"Pinos de Alhaurín, Alhaurín de la Torre",36.6450558,-4.5901766,550000,7,4,4,1.0,1.0,1.0,1.0,0.0,280,0,0,1,486167.077907294,-63832.922092705965,-11.605985835037448
Casa o chalet independiente en venta en CORTIJO MAZA,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6463857,-4.5002249,639000,4,3,2,1.0,1.0,1.0,0.0,0.0,298,0,0,1,550693.6035261899,-88306.39647381008,-13.81946736679344
Chalet adosado en venta en calle Angola s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6632566,-4.5192925,330000,7,3,4,1.0,1.0,1.0,1.0,0.0,239,0,0,1,444447.7838347852,114447.78383478522,34.68114661660158
Piso en venta en avenida ANDALUCIA,"San Francisco - El Chorrillo, Las Gabias",37.1311247,-3.6723631,54900,7,1,1,0.0,0.0,1.0,0.0,1.0,53,0,0,1,-18883.72738625109,-73783.72738625109,-134.3965890459947
"Casa o chalet independiente en venta en carril de Mestanza, 50","El Romeral-Peñón de Zapata, Alhaurín de la Torre",36.6955102,-4.5546675,425000,7,4,3,1.0,1.0,1.0,1.0,0.0,230,0,0,1,357423.045661062,-67576.954338938,-15.900459844456
Casa o chalet independiente en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6656448,-4.472338,410000,4,8,4,1.0,1.0,1.0,0.0,0.0,210,0,0,1,600243.6746515036,190243.6746515036,46.400896256464286
Casa o chalet independiente en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6495488,-4.4888463,895000,7,4,4,1.0,1.0,1.0,1.0,0.0,500,0,0,1,801333.5294288099,-93666.47057119012,-10.4655274381218
Piso en venta en avenida de Velázquez,"Los Guindos - Parque Mediterráneo - Santa Paula, Málaga",36.6988581,-4.4476889,249900,8,2,1,0.0,1.0,0.0,0.0,1.0,80,0,0,1,154349.68977300823,-95550.31022699176,-38.23541825809996
Piso en venta en avenida de San Javier,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6648899,-4.4972496,249000,7,3,2,1.0,1.0,0.0,1.0,1.0,106,0,0,1,258767.837582767,9767.83758276701,3.9228263384606463
Piso en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6652929,-4.4998666,223000,4,3,2,1.0,1.0,1.0,1.0,1.0,102,0,0,1,285744.245566532,62744.245566532016,28.13643298947624
Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6723596,-4.5069099,235000,7,3,2,1.0,1.0,1.0,1.0,0.0,120,0,0,1,283285.8164794892,48285.81647948921,20.54715594871881
"Chalet adosado en venta en calle Alberto Peláez Domínguez, 16","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6656226,-4.4995242,298000,4,4,2,0.0,1.0,1.0,1.0,0.0,231,0,0,1,414017.8066842556,116017.8066842556,38.9321498940455
Piso en venta en La Luz,"Carretera de Cádiz, Málaga",36.69337,-4.45395,139900,4,3,1,0.0,0.0,0.0,0.0,1.0,76,0,0,1,154885.2126069069,14985.21260690689,10.71137427227083
Chalet adosado en venta en calle Portales del Popo,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6722374,-4.5054086,172000,8,2,2,0.0,1.0,0.0,0.0,0.0,86,0,0,1,174223.31657017767,2223.3165701776743,1.2926259128939968
Piso en venta en avenida de velazquez,"Girón - Las Delicias - Pacífico, Málaga",36.6983376,-4.4455878,180000,7,2,1,0.0,0.0,0.0,0.0,1.0,75,0,0,1,122706.35863751172,-57293.64136248827,-31.829800756937924
Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.672398,-4.5068266,318500,6,4,2,1.0,1.0,1.0,1.0,0.0,180,0,0,1,374473.38868789375,55973.38868789375,17.574062382384223
Piso en venta en avenida de Velázquez,"Girón - Las Delicias - Pacífico, Málaga",36.6991275,-4.4459164,160000,7,3,1,0.0,0.0,0.0,0.0,1.0,80,0,0,1,151880.31387911737,-8119.68612088263,-5.074803825551644
Chalet adosado en venta en calle del Escritor Béjar Zambrana,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6594796,-4.4953536,370000,2,3,3,1.0,1.0,1.0,1.0,0.0,198,0,0,1,420366.6872949004,50366.68729490042,13.612618187810924
"Chalet adosado en venta en calle Maestro Vicente Lleó, 10","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6643215,-4.5000073,205000,4,3,1,0.0,1.0,1.0,0.0,0.0,67,0,1,0,156837.48574198782,-48162.514258012176,-23.493909394152283
"Ático en venta en calle Tanzania, 3","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6620559,-4.5186553,350000,8,3,2,1.0,1.0,1.0,1.0,1.0,123,0,0,1,293056.761972487,-56943.23802751303,-16.269496579289434
"Casa o chalet independiente en venta en camino de la Sierra, 64","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.654312,-4.5117104,640000,8,4,5,1.0,1.0,1.0,1.0,0.0,300,0,0,1,570768.6772361994,-69231.32276380062,-10.817394181843849
Piso en venta en calle Heliomar,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6607864,-4.503071,157500,7,3,1,1.0,1.0,0.0,1.0,1.0,68,0,0,1,206696.5732673705,49196.57326737046,31.23591953483839
Casa o chalet independiente en venta en camino Agropecuario de Realenga,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6524475,-4.490088,725000,7,5,3,1.0,1.0,1.0,0.0,0.0,278,0,0,1,587968.4500784874,-137031.5499215126,-18.900903437450012
Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6626183,-4.5026068,299000,4,3,2,0.0,1.0,1.0,0.0,0.0,150,0,0,1,323882.7755713016,24882.77557130158,8.32199851882996
Ático en venta en calle Acacias de Guadalmar,"Guadalmar, Málaga",36.6631287,-4.4561357,430000,0,3,2,0.0,1.0,1.0,0.0,1.0,160,0,0,1,377758.97788736224,-52241.02211263776,-12.149074909915758
Piso en venta en La Luz,"Carretera de Cádiz, Málaga",36.6972921,-4.4511214,162000,8,3,1,0.0,1.0,0.0,0.0,1.0,74,0,0,1,173333.76855753362,11333.768557533622,6.99615343057631
"Chalet adosado en venta en pasaje Mari-Gaila, 8","Guadalmar, Málaga",36.6676778,-4.4653004,395000,8,4,3,1.0,1.0,1.0,1.0,0.0,194,0,0,1,445068.0476973206,50068.04769732058,12.675455113245718
"Casa o chalet independiente en venta en carretera Coín, 29","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.659266,-4.4937989,860000,8,5,2,1.0,1.0,1.0,0.0,0.0,223,0,0,1,498332.6447557658,-361667.3552442342,-42.054343633050486
Casa o chalet independiente en venta en calle del Escritor Béjar Zambrana,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6618741,-4.495526,360000,2,4,3,1.0,1.0,1.0,1.0,0.0,220,0,0,1,465004.9572240561,105004.95722405612,29.16804367334893
Casa o chalet independiente en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.652233,-4.49582,639000,4,3,2,1.0,1.0,1.0,0.0,0.0,298,0,0,1,543835.6383985281,-95164.3616014719,-14.89270134608324
"Casa o chalet independiente en venta en Urb. churriana centro, Churriana-El Pizarrillo-La Noria-Guadalsol","Churriana, Málaga",36.6653113,-4.5052488,173000,8,2,1,0.0,1.0,0.0,0.0,0.0,91,0,0,1,178601.19028154016,5601.190281540155,3.23768224366483
Casa o chalet independiente en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6604195,-4.5190936,640000,7,4,2,1.0,1.0,1.0,1.0,0.0,250,0,0,1,459644.2936184257,-180355.70638157427,-28.18057912212098
"Dúplex en venta en calle Merlo, 27","Cruz del Humilladero - Los Tilos, Málaga",36.7143969,-4.4393075,340000,7,3,2,0.0,1.0,1.0,0.0,1.0,76,0,0,1,200008.08846361932,-139991.91153638065,-41.17409162834725
"Chalet adosado en venta en calle Malasia, 37","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67104,-4.5181699,359000,2,4,3,1.0,1.0,1.0,0.0,0.0,190,0,0,1,416168.38799344,57168.38799344003,15.924342059454046
Casa o chalet independiente en venta en Cañada de Ceuta s/n,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6470284,-4.5082433,700000,4,3,2,1.0,1.0,1.0,1.0,0.0,455,0,0,1,691649.4041215777,-8350.59587842226,-1.1929422683460371
"Chalet adosado en venta en calle del Escritor Béjar Zambrana, 3","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6611221,-4.4958917,360000,0,4,3,1.0,1.0,1.0,1.0,0.0,220,0,0,1,468543.5242245197,108543.52422451972,30.15097895125548
"Casa o chalet independiente en venta en avenida Asunción, 3","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6538028,-4.4930439,700000,8,5,3,1.0,1.0,1.0,1.0,0.0,270,0,0,1,553591.5603011549,-146408.43969884515,-20.915491385549306
"Chalet adosado en venta en calle Árbol Blanco, 55","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.667023,-4.5010688,255000,4,3,2,0.0,1.0,1.0,0.0,0.0,178,0,1,0,283915.9864884466,28915.986488446597,11.33960254448886
"Chalet pareado en venta en Urb. adelfamar , Churriana-El Pizarrillo-La Noria-Guadalsol","Churriana, Málaga",36.6713789,-4.5070138,310000,8,3,3,0.0,1.0,1.0,0.0,0.0,251,0,0,1,421347.8495904356,111347.84959043562,35.91866115820504
"Piso en venta en avenida de San Javier, 67","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6633929,-4.4986666,240000,6,2,1,1.0,1.0,1.0,1.0,1.0,109,0,0,1,256002.16470067203,16002.16470067203,6.667568625280013
"Casa o chalet independiente en venta en calle Avempace, 10","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6485811,-4.5021544,270000,0,3,2,1.0,1.0,1.0,1.0,0.0,100,0,0,1,317891.7316674888,47891.73166748881,17.737678395366228
"Piso en venta en calle Heliomar, 1","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.661246,-4.5010769,190000,8,3,1,1.0,1.0,0.0,1.0,1.0,77,0,0,1,215995.45020776987,25995.45020776987,13.681815898826247
"Piso en venta en Urb. PRIVADA, La Luz","Carretera de Cádiz, Málaga",36.6939299,-4.4588624,260000,3,3,1,1.0,0.0,1.0,0.0,1.0,114,0,0,1,258520.8627062142,-1479.1372937858105,-0.5688989591483886
"Piso en venta en calle Decano Joaquín Wuester, 3","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6658835,-4.4731468,215000,5,3,2,0.0,1.0,1.0,0.0,1.0,85,0,0,1,271381.28547118604,56381.28547118604,26.223853707528395
Casa o chalet independiente en venta en calle Diputado Ignacio Huelin,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6520052,-4.4983126,449900,7,4,3,0.0,0.0,0.0,0.0,0.0,250,0,0,1,428999.524555102,-20900.47544489801,-4.645582450521896
"Chalet pareado en venta en CL ESTACIÓN, 20","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6678521,-4.5026877,85000,7,2,1,0.0,0.0,0.0,0.0,0.0,55,0,1,0,45166.31384718418,-39833.68615281582,-46.863160179783314
Chalet adosado en venta en calle ALBERTO PELÁEZ DOMÍNGUEZ,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6674941,-4.4980792,298000,7,4,2,0.0,0.0,1.0,1.0,0.0,231,0,0,1,377855.278916657,79855.27891665697,26.797073461965425
"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,291800,6,3,2,1.0,1.0,1.0,1.0,1.0,159,0,0,1,350700.1708929092,58900.17089290917,20.18511682416353
Piso en venta en calle Hespérides s/n,"Guadalmar, Málaga",36.6634751,-4.4611374,262181,4,2,1,1.0,1.0,0.0,1.0,1.0,102,0,0,1,252568.9755025059,-9612.024497494102,-3.666178898354229
"Ático en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,255900,8,2,2,0.0,1.0,1.0,1.0,1.0,149,1,0,0,278710.7766624391,22810.776662439108,8.913941642219267
"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,265900,8,3,2,0.0,1.0,1.0,1.0,1.0,119,1,0,0,272028.84639547765,6128.846395477653,2.304944112627925
"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,255900,8,3,2,0.0,1.0,1.0,1.0,1.0,165,1,0,0,321415.3822540343,65515.38225403428,25.601946953510858
"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,265900,8,3,2,0.0,1.0,1.0,1.0,1.0,113,1,0,0,265587.1243269741,-312.8756730258465,-0.1176666690582348
"Chalet adosado en venta en calle Avempace, 10","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6487253,-4.5018207,182100,6,2,1,0.0,1.0,0.0,0.0,0.0,83,0,0,1,205643.44128474596,23543.44128474593,12.928852984484312
"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,291800,6,3,2,1.0,1.0,1.0,1.0,1.0,159,0,0,1,350700.1708929092,58900.17089290917,20.18511682416353
Chalet adosado en venta en calle Avempace,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6499253,-4.5013207,182100,6,2,1,1.0,1.0,0.0,0.0,0.0,83,0,0,1,240199.52011193332,58099.52011193335,31.905282873110025
Chalet adosado en venta en calle Josefa Morales,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6692556,-4.5108488,256500,6,4,2,0.0,1.0,0.0,0.0,0.0,153,0,0,1,300443.31454233825,43943.31454233825,17.13189650773421
